,ROC-AUC,F1,PR-AUC,CV-AUC,CV-Std,Train_size,Test_size
NR-AR,0.7589,0.4274,0.4574,0.7702,0.0448,5812.0,1453.0
NR-AR-LBD,0.8113,0.5641,0.5461,0.8569,0.0075,5406.0,1352.0
NR-AhR,0.904,0.5918,0.6327,0.899,0.014,5239.0,1310.0
NR-Aromatase,0.8939,0.521,0.5504,0.8504,0.0318,4656.0,1165.0
NR-ER,0.7059,0.3397,0.3931,0.7013,0.0296,4954.0,1239.0
NR-ER-LBD,0.8095,0.459,0.4374,0.806,0.0314,5564.0,1391.0
NR-PPAR-gamma,0.8169,0.3175,0.294,0.8267,0.0386,5160.0,1290.0
SR-ARE,0.8386,0.5146,0.5575,0.8211,0.0117,4665.0,1167.0
SR-ATAD5,0.8894,0.4043,0.3336,0.8673,0.0307,5657.0,1415.0
SR-HSE,0.7907,0.3758,0.3361,0.7898,0.0377,5173.0,1294.0
SR-MMP,0.917,0.6356,0.7337,0.919,0.0174,4648.0,1162.0
SR-p53,0.8668,0.382,0.3379,0.8455,0.0168,5419.0,1355.0
